#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Tarik Skubal,DET,32,32,198,781,15,8,,0,0,,157,65,60,16,,6,227,39,10.33,1.79,2.74,1
2,Zack Wheeler,PHI,32,32,203,823,15,8,,0,0,,168,80,74,20,,8,213,54,9.43,2.41,3.28,1.09
3,Chris Sale,ATL,31,31,178,732,14,6,,0,0,,151,64,59,17,,10,218,46,11.03,2.34,2.98,1.11
4,Logan Webb,SFG,32,32,198,813,13,9,,0,0,,185,77,71,14,,5,166,43,7.54,1.93,3.22,1.15
5,Garrett Crochet,BOS,31,31,143,593,13,6,,0,0,,120,51,47,12,,3,179,46,11.27,2.87,2.93,1.16
6,Yoshinobu Yamamoto,LAD,28,28,167,648,13,7,,0,0,,129,67,62,18,,3,172,36,9.27,1.91,3.34,0.98
7,Corbin Burnes,ARI,31,31,186,754,14,7,,0,0,,155,67,62,16,,7,184,52,8.87,2.53,2.97,1.11
8,Paul Skenes,PIT,31,31,159,642,8,6,,0,0,,130,63,57,17,,4,186,44,10.49,2.49,3.25,1.09
9,Aaron Nola,PHI,31,31,188,770,11,9,,0,0,,173,86,80,24,,5,185,41,8.84,1.96,3.83,1.14
10,George Kirby,SEA,31,31,178,723,13,9,,0,0,,167,71,66,19,,6,166,26,8.41,1.3,3.32,1.08
11,Nick Martinez,CIN,23,49,183,760,12,9,,0,1,,177,78,72,17,,6,157,44,7.73,2.18,3.53,1.21
12,Max Fried,NYY,29,29,176,720,13,9,,0,0,,152,72,67,16,,5,159,52,8.13,2.66,3.43,1.16
13,Dylan Cease,SDP,32,32,178,736,13,9,,0,0,,143,73,68,19,,5,210,67,10.6,3.38,3.43,1.18
14,Sandy Alcantara,MIA,28,28,181,738,10,8,,0,0,,166,76,70,17,,7,154,41,7.67,2.06,3.49,1.15
15,Michael King,SDP,31,31,177,743,14,8,,0,0,,151,70,64,18,,7,195,62,9.91,3.16,3.27,1.2
16,Cole Ragans,KCR,31,31,175,733,11,8,,0,0,,150,74,68,18,,6,195,65,10.02,3.34,3.51,1.23
17,Logan Gilbert,SEA,32,32,191,767,12,8,,0,0,,164,76,70,23,,4,192,44,9.05,2.05,3.29,1.08
18,Pablo López,MIN,32,32,188,778,13,10,,0,0,,172,85,79,24,,9,197,46,9.41,2.22,3.78,1.16
19,Blake Snell,LAD,29,29,149,619,10,6,,0,0,,112,61,56,16,,2,197,67,11.91,4.06,3.38,1.2
20,Reynaldo López,ATL,31,31,166,681,11,5,,0,0,,140,63,59,16,,3,179,55,9.67,2.98,3.2,1.17
21,Sonny Gray,STL,31,31,177,723,13,8,,0,0,,153,73,67,20,,6,185,49,9.38,2.46,3.43,1.14
22,Hunter Greene,CIN,29,29,167,674,9,8,,0,0,,121,72,67,18,,19,186,57,10.03,3.09,3.62,1.07
23,Kevin Gausman,TOR,32,32,188,788,14,10,,0,0,,179,82,76,23,,2,183,52,8.74,2.49,3.65,1.23
24,Tyler Glasnow,LAD,24,24,137,543,10,6,,0,0,,107,56,52,18,,0,168,39,11.06,2.55,3.42,1.07
25,Gerrit Cole,NYY,31,31,176,719,11,9,,0,0,,151,78,71,25,,5,185,48,9.42,2.45,3.64,1.13
26,Justin Steele,CHC,29,29,162,668,9,6,,0,0,,146,65,60,16,,6,151,43,8.42,2.42,3.34,1.17
27,Shane McClanahan,TBR,26,34,159,638,11,7,,0,1,,134,62,57,19,,1,170,40,9.59,2.28,3.25,1.09
28,Framber Valdez,HOU,29,29,178,738,14,8,,0,0,,153,70,65,17,,9,165,58,8.32,2.95,3.26,1.19
29,Jacob deGrom,TEX,26,26,112,434,6,2,,0,0,,84,41,39,15,,2,149,24,12.01,1.91,3.13,0.97
30,Spencer Strider,ATL,21,21,118,482,9,6,,0,0,,92,47,43,13,,6,160,36,12.17,2.72,3.29,1.08
31,Tanner Houck,BOS,29,39,176,742,11,8,,0,1,,163,80,75,16,,15,159,53,8.15,2.72,3.82,1.23
32,Ranger Suárez,PHI,28,40,164,690,11,9,,0,1,,153,72,66,16,,5,147,51,8.03,2.78,3.64,1.24
33,Cristopher Sánchez,PHI,29,29,172,721,10,9,,0,0,,167,80,74,19,,5,145,45,7.58,2.36,3.87,1.24
34,Luis Castillo,SEA,31,31,178,730,13,10,,0,0,,154,74,69,21,,6,181,51,9.16,2.57,3.48,1.15
35,Joe Ryan,MIN,28,28,156,631,10,8,,0,0,,134,71,65,21,,8,166,36,9.6,2.05,3.77,1.09
36,Clay Holmes,NYM,21,52,167,734,15,11,,0,1,,172,74,68,12,,8,145,51,7.8,2.76,3.66,1.34
37,Shota Imanaga,CHC,29,29,164,674,10,8,,0,0,,149,69,64,22,,5,165,38,9.06,2.07,3.49,1.14
38,Spencer Schwellenbach,ATL,29,29,158,650,12,8,,0,0,,147,69,64,19,,8,152,33,8.65,1.9,3.62,1.14
39,Zach Eflin,BAL,29,29,172,708,12,9,,0,0,,173,78,72,22,,5,141,29,7.38,1.51,3.75,1.17
40,Seth Lugo,KCR,31,31,186,777,12,10,,0,0,,180,85,78,22,,7,156,51,7.56,2.46,3.81,1.24
41,Tanner Bibee,CLE,29,29,161,665,10,8,,0,0,,142,67,62,20,,6,164,45,9.15,2.53,3.48,1.16
42,Hunter Brown,HOU,29,29,165,699,12,9,,0,0,,148,74,68,19,,5,168,59,9.18,3.24,3.72,1.26
43,Brayan Bello,BOS,29,29,159,688,11,11,,0,0,,155,79,72,16,,6,147,58,8.31,3.28,4.1,1.34
44,Grayson Rodriguez,BAL,28,28,152,636,10,9,,0,0,,136,69,64,19,,6,163,45,9.61,2.66,3.77,1.19
45,Brandon Woodruff,MIL,24,24,141,575,9,7,,0,0,,118,59,54,19,,5,161,42,10.33,2.67,3.44,1.14
46,Carlos Rodón,NYY,31,31,166,691,12,11,,0,0,,143,81,75,24,,8,182,54,9.87,2.91,4.04,1.18
47,Zac Gallen,ARI,29,29,168,694,12,8,,0,0,,146,70,65,19,,6,162,53,8.68,2.84,3.45,1.18
48,MacKenzie Gore,WSN,31,31,159,689,10,10,,0,0,,150,76,70,19,,7,168,60,9.52,3.42,3.98,1.32
49,Drew Rasmussen,TBR,19,43,122,491,10,5,,0,1,,104,43,40,10,,3,120,29,8.8,2.11,2.93,1.08
50,Freddy Peralta,MIL,31,31,164,680,10,9,,0,0,,130,74,69,22,,8,185,63,10.11,3.42,3.76,1.17
51,Mitch Keller,PIT,31,31,178,762,11,11,,0,0,,173,86,80,21,,13,161,52,8.14,2.63,4.02,1.26
52,Yusei Kikuchi,LAA,31,31,162,694,9,9,,0,0,,157,79,74,25,,5,182,53,10.13,2.96,4.09,1.3
53,Nathan Eovaldi,TEX,29,29,168,694,9,10,,0,0,,155,84,78,23,,6,155,44,8.33,2.38,4.2,1.19
54,Bailey Ober,MIN,29,29,163,660,9,9,,0,0,,145,77,71,25,,5,167,39,9.21,2.13,3.92,1.13
55,Nestor Cortes,MIL,23,41,149,607,10,6,,0,1,,131,64,59,20,,3,149,37,8.96,2.24,3.54,1.13
56,Jared Jones,PIT,28,36,151,627,8,9,,0,1,,135,71,65,19,,7,152,45,9.09,2.71,3.89,1.2
57,Bryce Miller,SEA,31,31,168,685,11,8,,0,0,,148,73,68,21,,6,156,44,8.34,2.33,3.63,1.13
58,Jack Flaherty,DET,29,29,158,664,12,8,,0,0,,139,73,68,22,,8,177,51,10.11,2.93,3.86,1.2
59,Kodai Senga,NYM,26,36,159,666,10,8,,0,1,,128,67,62,17,,5,172,71,9.7,4.03,3.51,1.25
60,Brandon Pfaadt,ARI,23,35,141,587,9,7,,0,1,,133,66,60,18,,6,141,32,8.98,2.03,3.84,1.17
61,Brady Singer,CIN,29,29,163,704,8,11,,0,0,,165,95,87,25,,10,158,50,8.75,2.76,4.84,1.32
62,Walker Buehler,BOS,26,40,145,614,8,6,,0,1,,143,68,63,17,,5,128,41,7.91,2.51,3.92,1.27
63,José Soriano,LAA,26,26,144,621,9,7,,0,0,,123,70,65,13,,17,139,63,8.7,3.95,4.04,1.3
64,Yu Darvish,SDP,29,29,161,665,11,10,,0,0,,144,78,72,22,,10,151,43,8.46,2.41,4.03,1.16
65,Sean Manaea,NYM,31,31,174,731,10,8,,0,0,,158,90,83,25,,8,175,57,9.06,2.94,4.31,1.24
66,Bryan Woo,SEA,26,26,124,498,7,5,,0,0,,109,53,49,15,,7,115,25,8.3,1.8,3.54,1.07
67,Clarke Schmidt,NYY,21,45,132,561,7,7,,0,1,,117,62,57,15,,9,135,44,9.17,2.97,3.91,1.22
68,Chris Bassitt,TOR,31,31,175,752,11,11,,0,0,,166,86,79,22,,14,158,60,8.14,3.1,4.04,1.29
69,Nick Pivetta,,29,29,164,679,11,10,,0,0,,148,82,76,27,,4,177,52,9.74,2.84,4.2,1.22
70,Eduardo Rodriguez,ARI,24,34,143,607,11,8,,0,1,,139,63,59,16,,3,132,45,8.29,2.82,3.68,1.28
71,Reese Olson,DET,26,26,125,526,6,7,,0,0,,111,59,55,13,,4,116,44,8.36,3.17,3.95,1.25
72,José Berríos,TOR,32,32,193,814,13,12,,0,0,,185,94,87,28,,12,165,53,7.7,2.45,4.06,1.23
73,Germán Márquez,COL,28,28,146,627,8,10,,0,0,,147,81,75,18,,3,119,51,7.33,3.14,4.59,1.35
74,Alex Cobb,DET,23,23,114,498,5,6,,0,0,,118,55,51,10,,3,93,38,7.3,2.97,3.99,1.36
75,Jon Gray,TEX,23,45,145,613,7,10,,3,1,,137,77,72,18,,6,133,44,8.23,2.74,4.46,1.25
76,Jesús Luzardo,PHI,26,41,155,651,10,9,,0,1,,139,81,75,23,,6,161,54,9.3,3.13,4.36,1.24
77,Max Scherzer,TOR,21,27,119,482,8,6,,0,1,,103,51,48,17,,6,122,29,9.23,2.18,3.61,1.11
78,David Peterson,NYM,26,34,143,622,8,8,,0,1,,135,70,65,15,,8,134,58,8.46,3.66,4.09,1.35
79,Nick Lodolo,CIN,23,23,118,510,7,8,,0,0,,105,65,60,15,,19,128,40,9.81,3.04,4.6,1.23
80,Taj Bradley,TBR,29,29,148,621,10,10,,0,0,,134,72,67,21,,4,149,48,9.07,2.89,4.07,1.23
81,Ryan Feltner,COL,31,31,162,704,6,9,,0,0,,165,91,84,22,,7,140,58,7.75,3.22,4.66,1.37
82,Tyler Mahle,TEX,26,26,134,555,7,7,,0,0,,120,68,63,18,,4,124,44,8.36,2.94,4.22,1.22
83,Andre Pallante,STL,24,41,152,658,9,9,,0,1,,148,70,64,12,,5,112,61,6.65,3.59,3.82,1.38
84,Michael Wacha,KCR,28,28,151,635,9,8,,0,0,,147,74,68,20,,4,125,44,7.45,2.63,4.07,1.27
85,Luis Gil,NYY,28,38,145,620,10,10,,0,1,,117,72,67,19,,7,164,72,10.17,4.48,4.14,1.3
86,Matthew Boyd,CHC,23,35,116,481,8,4,,0,1,,101,51,47,14,,6,121,35,9.35,2.71,3.62,1.17
87,Kumar Rocker,TEX,23,36,104,431,3,3,,0,1,,93,47,44,14,,2,108,29,9.4,2.5,3.82,1.17
88,Andrew Abbott,CIN,28,28,148,628,10,11,,0,0,,142,79,73,23,,3,139,54,8.46,3.3,4.46,1.33
89,Erick Fedde,STL,31,31,170,725,9,11,,0,0,,169,85,79,25,,4,153,53,8.1,2.83,4.21,1.31
90,Ryan Pepiot,TBR,29,29,145,606,10,7,,0,0,,123,67,62,19,,10,153,54,9.52,3.35,3.87,1.22
91,Reid Detmers,LAA,18,36,118,500,7,9,,0,1,,106,61,56,16,,6,129,41,9.89,3.16,4.29,1.25
92,Gavin Williams,CLE,26,26,119,499,8,7,,0,0,,103,55,51,14,,6,118,46,8.97,3.5,3.85,1.25
93,Jeffrey Springs,ATH,26,34,112,464,7,4,,0,1,,104,47,44,15,,1,113,31,9.12,2.49,3.55,1.21
94,Mitchell Parker,WSN,26,38,142,615,8,9,,0,1,,139,73,68,17,,2,126,54,8.02,3.43,4.32,1.36
95,Grant Holmes,ATL,15,45,117,502,5,4,,0,1,,109,52,48,12,,5,120,39,9.18,2.99,3.71,1.26
96,Bowden Francis,TOR,26,36,155,633,12,9,,0,1,,135,73,67,22,,12,142,42,8.28,2.44,3.92,1.14
97,Jameson Taillon,CHC,29,29,163,679,10,9,,0,0,,162,81,75,24,,4,129,39,7.12,2.17,4.15,1.23
98,Luis Garcia,HOU,19,33,118,491,10,7,,0,1,,107,53,50,16,,1,118,38,8.97,2.87,3.79,1.22
99,Tobias Myers,MIL,24,24,128,539,8,7,,0,0,,120,62,57,18,,5,117,40,8.24,2.81,4.02,1.25
100,Shohei Ohtani,LAD,21,21,124,507,9,5,,0,0,,94,56,52,17,,10,134,48,9.69,3.5,3.77,1.15
#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
101,Luis Severino,ATH,31,31,171,729,8,9,,0,0,,167,90,83,22,,9,144,54,7.61,2.87,4.37,1.3
102,Dean Kremer,BAL,24,24,126,531,8,7,,0,0,,119,60,55,16,,4,111,42,7.97,3.02,3.95,1.28
103,Shane Bieber,CLE,15,25,97,404,6,4,,0,1,,92,42,39,11,,2,89,26,8.32,2.42,3.63,1.22
104,Martín Pérez,CHW,24,24,132,583,5,7,,0,0,,143,70,65,15,,5,97,47,6.62,3.24,4.44,1.45
105,Zack Littell,TBR,23,38,137,573,8,7,,0,1,,137,66,61,20,,4,118,29,7.78,1.93,3.99,1.22
106,Clayton Kershaw,,16,16,81,334,7,4,,0,0,,75,36,33,10,,2,75,21,8.36,2.33,3.71,1.19
107,Kutter Crawford,BOS,23,49,152,632,10,10,,0,1,,143,80,74,24,,6,143,42,8.47,2.5,4.39,1.22
108,Robbie Ray,SFG,28,28,141,589,9,8,,0,0,,129,66,61,22,,5,149,45,9.56,2.91,3.91,1.24
109,Kris Bubic,KCR,18,42,107,460,6,5,,0,1,,101,51,47,12,,4,107,38,9.03,3.18,4,1.3
110,Merrill Kelly,ARI,26,26,145,606,8,7,,0,0,,140,67,62,20,,2,120,42,7.45,2.63,3.87,1.26
111,Kyle Gibson,,29,29,162,709,8,9,,0,0,,164,87,80,21,,6,135,64,7.51,3.56,4.47,1.41
112,Ronel Blanco,HOU,28,28,158,663,10,9,,0,0,,139,75,69,24,,2,158,66,8.98,3.75,3.94,1.29
113,Jose Quintana,,29,29,153,666,9,9,,0,0,,151,78,72,18,,6,121,63,7.16,3.74,4.27,1.41
114,Tyler Anderson,LAA,29,29,166,713,9,12,,0,0,,165,90,83,25,,7,137,59,7.4,3.22,4.49,1.35
115,Spencer Arrighetti,HOU,26,26,136,585,9,8,,0,0,,120,69,64,19,,8,146,58,9.69,3.84,4.24,1.31
116,Miles Mikolas,STL,31,31,172,728,9,12,,0,0,,186,96,89,26,,6,117,34,6.11,1.8,4.63,1.28
