#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
117,Kyle Harrison,SFG,26,26,127,544,6,6,,0,0,,116,64,59,16,,9,129,48,9.1,3.36,4.21,1.28
118,Chris Paddack,MIN,16,55,120,517,6,5,,0,1,,125,62,58,16,,2,112,32,8.4,2.4,4.32,1.31
119,Davis Martin,CHW,24,24,110,479,6,7,,0,0,,109,59,54,14,,7,99,42,8.12,3.43,4.46,1.37
120,Jonathan Cannon,CHW,26,34,151,649,7,10,,0,1,,156,85,79,21,,6,109,49,6.5,2.91,4.71,1.36
121,Simeon Woods Richardson,MIN,26,26,122,525,5,6,,0,0,,118,64,59,15,,3,106,48,7.8,3.52,4.36,1.36
122,Justin Verlander,SFG,24,24,135,575,8,9,,0,0,,138,67,62,16,,5,102,40,6.77,2.69,4.15,1.32
123,Johan Oviedo,PIT,21,33,129,558,7,9,,0,1,,120,66,61,15,,9,118,52,8.2,3.61,4.27,1.33
124,Jordan Hicks,SFG,23,40,134,589,7,7,,0,1,,124,65,60,13,,10,128,63,8.59,4.25,4.06,1.4
125,Luis L. Ortiz,CLE,23,40,158,673,9,8,,0,1,,147,77,70,21,,8,137,56,7.77,3.21,3.99,1.28
126,Ryan Weathers,MIA,24,34,128,555,6,9,,0,1,,127,68,63,16,,6,111,48,7.81,3.38,4.43,1.37
127,Lucas Giolito,BOS,18,36,117,503,7,8,,0,1,,114,62,57,17,,4,119,41,9.13,3.16,4.42,1.32
128,Jordan Montgomery,ARI,16,42,118,509,7,5,,0,1,,121,56,52,12,,3,95,38,7.26,2.92,3.93,1.35
129,Aaron Civale,MIL,26,26,136,574,7,7,,0,0,,130,70,65,22,,6,124,42,8.16,2.77,4.28,1.26
130,Jake Irvin,WSN,29,29,157,665,8,11,,0,0,,153,85,79,24,,8,130,49,7.43,2.82,4.55,1.29
131,David Festa,MIN,16,42,98,422,5,5,,0,1,,90,48,45,12,,4,104,37,9.5,3.42,4.08,1.3
132,Shane Baz,TBR,24,41,133,561,8,6,,0,1,,120,66,61,16,,8,120,48,8.17,3.27,4.13,1.27
133,Kyle Freeland,COL,28,28,148,650,8,10,,0,0,,168,88,81,24,,5,104,41,6.33,2.52,4.96,1.42
134,Frankie Montas,NYM,28,28,140,607,7,10,,0,0,,133,78,72,20,,5,132,57,8.54,3.69,4.65,1.37
135,Andrew Heaney,,29,29,149,639,8,9,,0,0,,145,85,79,25,,11,146,47,8.81,2.82,4.75,1.29
136,Charlie Morton,BAL,28,28,153,663,8,9,,0,0,,143,81,74,21,,14,150,61,8.84,3.61,4.39,1.34
137,Austin Gomber,COL,29,29,161,691,7,11,,0,0,,176,98,90,28,,2,115,45,6.41,2.5,5.06,1.37
138,Lance Lynn,,26,26,142,614,7,9,,0,0,,141,76,70,21,,7,130,52,8.23,3.29,4.44,1.36
139,Steven Matz,STL,18,42,111,486,5,5,,0,1,,115,55,51,13,,4,97,36,7.89,2.92,4.11,1.36
140,Randy Vásquez,SDP,26,34,133,580,8,8,,0,1,,133,69,64,16,,11,101,44,6.82,2.98,4.33,1.33
141,Spencer Turnbull,,18,18,99,425,4,4,,0,0,,90,52,48,12,,10,92,38,8.42,3.51,4.39,1.31
142,Casey Mize,DET,23,23,112,478,4,4,,0,0,,111,58,54,15,,6,88,32,7.05,2.55,4.33,1.27
143,Alec Marsh,KCR,21,35,119,518,8,9,,0,1,,113,65,60,16,,9,115,45,8.67,3.41,4.55,1.33
144,Bailey Falter,PIT,23,40,129,547,6,8,,0,1,,133,68,63,17,,3,93,37,6.44,2.58,4.37,1.31
145,Antonio Senzatela,COL,23,33,117,528,4,7,,0,1,,137,71,66,15,,4,71,36,5.49,2.8,5.04,1.48
146,Lance McCullers Jr.,HOU,11,39,91,385,5,4,,0,1,,78,38,35,9,,4,91,38,9,3.8,3.47,1.28
147,Quinn Mathews,STL,16,16,82,352,4,4,,0,0,,75,40,37,10,,5,79,30,8.67,3.27,4.05,1.27
148,Ben Lively,CLE,26,26,135,580,10,11,,0,0,,136,69,63,18,,6,105,45,7.02,3.01,4.22,1.34
149,Marcus Stroman,NYY,16,44,116,498,7,8,,0,1,,114,60,56,14,,4,86,41,6.64,3.15,4.34,1.34
150,Max Meyer,MIA,23,35,116,504,6,7,,0,1,,118,61,56,16,,3,101,41,7.84,3.21,4.37,1.38
151,Edward Cabrera,MIA,23,38,121,519,6,7,,0,1,,105,62,58,16,,7,127,58,9.48,4.3,4.3,1.35
152,Eury Pérez,MIA,15,15,66,272,4,4,,0,0,,59,30,28,9,,1,69,20,9.43,2.78,3.77,1.2
153,Rhett Lowder,CIN,18,42,109,468,5,7,,0,1,,112,63,58,15,,5,84,33,6.92,2.75,4.77,1.33
154,Cade Cavalli,WSN,16,44,103,453,6,6,,0,1,,95,53,49,10,,9,99,46,8.65,4,4.26,1.36
155,Sean Burke,CHW,23,33,101,441,5,8,,0,1,,94,55,52,13,,5,100,48,8.89,4.29,4.61,1.4
156,Jakob Junis,,15,15,92,389,4,4,,0,0,,94,51,47,15,,4,84,22,8.15,2.19,4.62,1.26
157,Cody Bradford,TEX,11,48,94,386,6,6,,0,1,,89,48,44,13,,3,83,20,7.97,1.92,4.23,1.16
158,Matt Waldron,SDP,21,21,115,489,6,7,,0,0,,115,63,58,17,,6,95,32,7.48,2.54,4.56,1.28
159,Tony Gonsolin,LAD,23,42,127,518,8,6,,0,1,,111,66,61,19,,5,105,42,7.44,3,4.33,1.21
160,Zebby Matthews,MIN,11,39,85,362,5,4,,0,1,,87,41,38,13,,3,80,17,8.46,1.84,4.05,1.22
161,DJ Herz,WSN,21,45,111,490,6,9,,0,1,,96,59,55,13,,8,122,59,9.86,4.76,4.43,1.39
162,Mitch Spence,ATH,19,40,130,561,7,8,,0,1,,133,68,64,17,,6,104,39,7.18,2.73,4.39,1.32
163,Aaron Ashby,MIL,13,49,109,489,6,7,,0,1,,100,55,51,11,,6,108,58,8.91,4.81,4.19,1.45
164,Javier Assad,CHC,23,47,144,621,7,5,,0,1,,137,71,66,18,,7,117,57,7.3,3.58,4.13,1.35
165,Dustin May,LAD,8,49,83,337,4,4,,0,1,,69,35,33,9,,7,84,27,9.07,2.86,3.58,1.14
166,Colin Rea,CHC,19,36,130,549,7,7,,0,1,,131,70,64,19,,7,100,34,6.95,2.36,4.46,1.27
167,Ian Anderson,ATL,16,28,88,384,5,4,,0,1,,86,43,40,10,,1,78,37,7.93,3.81,4.11,1.39
168,Cade Povich,BAL,15,32,90,386,6,6,,0,1,,85,46,42,11,,3,83,34,8.36,3.45,4.24,1.33
169,Alex Wood,,19,19,104,455,6,7,,0,0,,105,59,55,14,,10,89,37,7.74,3.19,4.79,1.36
170,Drew Thorpe,CHW,16,16,83,352,5,6,,0,0,,83,46,43,12,,1,66,29,7.15,3.18,4.68,1.35
171,Ross Stripling,,18,18,92,398,4,7,,0,0,,103,55,51,13,,1,63,24,6.16,2.38,4.97,1.38
172,Kyle Wright,KCR,13,35,93,402,6,7,,0,1,,91,49,45,11,,7,76,32,7.3,3.07,4.32,1.31
173,Roki Sasaki,LAD,24,24,97,435,0,0,,0,0,,99,56,53,15,,5,87,37,8.1,3.39,4.88,1.4
174,DL Hall,MIL,13,62,101,444,4,5,,0,1,,90,50,46,12,,6,108,48,9.66,4.25,4.14,1.37
175,Michael Soroka,WSN,15,53,126,548,7,10,,0,1,,120,70,65,18,,10,118,50,8.44,3.53,4.61,1.34
176,JP Sears,ATH,31,31,175,741,10,11,,0,0,,172,94,87,29,,11,145,50,7.45,2.56,4.48,1.27
177,Ryne Nelson,ARI,10,58,104,437,6,5,,0,1,,103,50,46,13,,3,84,28,7.3,2.46,4.01,1.26
178,Joey Cantillo,CLE,13,39,83,360,5,5,,0,1,,74,41,38,11,,3,86,40,9.31,4.29,4.08,1.36
179,Bubba Chandler,PIT,16,16,75,329,5,6,,0,0,,74,40,38,10,,5,65,29,7.77,3.52,4.5,1.37
180,Hayden Wesneski,HOU,13,57,113,475,6,8,,0,1,,105,60,55,18,,5,105,38,8.4,3,4.4,1.27
181,Chris Flexen,,16,16,84,375,3,6,,0,0,,92,50,47,12,,2,65,32,6.97,3.42,4.96,1.47
182,Trevor Williams,WSN,18,49,118,516,5,7,,0,1,,126,66,60,18,,4,93,40,7.14,3.05,4.62,1.41
183,Kyle Hart,,19,19,78,348,0,0,,0,0,,79,45,42,12,,4,70,29,8.1,3.39,4.88,1.4
184,Tomoyuki Sugano,BAL,23,33,101,453,0,0,,0,1,,102,58,55,16,,5,91,39,8.14,3.46,4.89,1.4
185,Bryse Wilson,CHW,13,45,110,469,4,6,,0,1,,114,62,57,17,,4,78,33,6.36,2.7,4.7,1.34
186,Paul Blackburn,NYM,13,49,101,441,6,6,,0,1,,104,56,52,13,,3,79,35,7.02,3.16,4.65,1.38
187,Chase Dollander,COL,16,16,80,353,2,4,,0,0,,79,48,44,13,,10,74,32,8.33,3.58,5,1.39
188,Hayden Birdsong,SFG,18,40,98,425,6,7,,0,1,,87,53,49,13,,8,101,46,9.29,4.26,4.49,1.36
189,Patrick Corbin,,24,24,127,580,6,10,,0,0,,152,83,77,21,,3,100,45,7.07,3.17,5.41,1.55
190,Michael Lorenzen,KCR,18,58,132,561,6,7,,0,1,,125,71,65,18,,4,98,54,6.65,3.68,4.45,1.35
191,Cal Quantrill,,24,24,131,575,7,9,,0,0,,137,75,69,18,,9,92,50,6.32,3.46,4.79,1.43
192,Adam Mazur,MIA,13,34,83,361,4,7,,0,1,,89,47,43,12,,1,63,27,6.83,2.93,4.72,1.4
193,Bryce Elder,ATL,6,21,51,219,4,3,,0,1,,50,25,24,6,,2,43,18,7.63,3.1,4.16,1.32
194,Jack Leiter,TEX,18,42,109,480,5,8,,0,1,,100,66,62,17,,8,111,50,9.16,4.15,5.11,1.38
195,Anthony DeSclafani,,15,15,79,345,4,5,,0,0,,86,45,42,13,,2,62,24,6.99,2.68,4.77,1.38
196,Caden Dana,LAA,13,13,67,289,4,5,,0,0,,66,39,36,11,,4,57,25,7.69,3.34,4.86,1.35
197,Andrew Painter,PHI,11,19,54,236,3,3,,0,1,,50,31,28,9,,3,58,23,9.52,3.87,4.71,1.35
198,Trevor Rogers,BAL,6,30,56,245,3,3,,0,1,,56,29,27,6,,2,48,21,7.71,3.42,4.29,1.38
199,Kyle Hendricks,LAA,24,24,122,536,5,9,,0,0,,139,78,73,22,,5,86,37,6.35,2.73,5.38,1.45
200,Tyler Alexander,,10,10,58,245,3,4,,0,0,,61,32,30,11,,2,46,12,7.12,1.88,4.62,1.25
#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
201,Jack Kochanowicz,LAA,15,29,96,420,5,7,,0,1,,106,57,53,13,,8,52,26,4.84,2.45,4.97,1.38
202,Noah Schultz,CHW,8,8,32,140,1,1,,0,0,,31,18,17,4,,4,30,11,8.21,2.97,4.63,1.28
203,J.T. Ginn,ATH,13,37,90,395,4,6,,0,1,,92,50,46,11,,8,66,31,6.65,3.09,4.59,1.36
204,Jackson Jobe,DET,18,33,86,371,3,4,,0,1,,85,48,44,13,,3,67,32,7.02,3.38,4.62,1.36
205,Robby Snelling,MIA,11,11,52,229,3,4,,0,0,,56,30,27,7,,1,38,20,6.67,3.54,4.78,1.47
206,Wade Miley,CIN,10,10,50,218,2,4,,0,0,,55,31,28,7,,1,31,19,5.51,3.35,5.08,1.46
207,Omar Cruz,SDP,11,30,87,383,4,6,,0,1,,81,48,45,12,,9,78,39,8.12,4,4.6,1.37
208,Osvaldo Bido,ATH,8,49,83,361,5,5,,0,1,,76,44,41,9,,9,77,35,8.32,3.83,4.39,1.34
209,Logan Allen,CLE,6,6,33,142,2,2,,0,0,,32,17,16,5,,1,28,13,7.78,3.45,4.26,1.37
210,Hagen Smith,CHW,6,6,26,116,0,0,,0,0,,26,15,14,4,,1,23,10,8.1,3.39,4.88,1.4
211,Valente Bellozo,MIA,15,41,105,457,4,7,,0,1,,114,60,56,17,,3,75,35,6.4,3.01,4.78,1.42
212,Noah Syndergaard,,8,8,32,145,0,0,,0,0,,33,19,18,5,,2,29,12,8.1,3.39,4.88,1.4
213,Nick Nastrini,CHW,13,28,74,334,3,7,,0,1,,73,47,43,11,,3,67,42,8.08,5.08,5.25,1.55
214,Patrick Sandoval,BOS,2,10,16,72,1,1,,0,1,,16,8,7,1,,1,16,7,8.54,3.71,3.88,1.37
215,Joey Estes,ATH,24,24,131,550,7,10,,0,0,,131,76,71,23,,11,97,33,6.66,2.26,4.89,1.25
216,Brandon Sproat,NYM,3,3,14,62,1,1,,0,0,,14,7,7,2,,0,13,6,7.84,3.49,4.27,1.34
217,Tink Hence,STL,3,3,13,55,1,1,,0,0,,12,7,6,2,,0,11,4,7.57,3.1,4.19,1.31
218,Griffin Canning,NYM,10,52,96,414,5,6,,0,1,,94,58,54,16,,3,84,36,7.91,3.41,5.01,1.36
219,Mason Adams,CHW,3,3,17,76,1,1,,0,0,,19,10,9,3,,2,12,5,6.47,2.5,4.92,1.35
220,Ian Seymour,TBR,5,24,43,185,2,2,,0,1,,41,23,21,6,,4,38,15,7.96,3.21,4.5,1.32
221,Carson Palmquist,COL,3,3,14,61,1,1,,0,0,,14,8,8,2,,1,13,6,8.5,4.07,4.96,1.45
222,Alek Manoah,TOR,2,10,16,69,1,1,,0,1,,14,8,8,2,,2,15,6,8.23,3.42,4.16,1.25
223,Thomas Harrington,PIT,2,2,8,35,0,0,,0,0,,8,4,4,1,,0,6,2,7.09,2.42,4.35,1.31
224,Chase Hampton,NYY,2,2,8,33,0,0,,0,0,,7,4,4,1,,0,7,3,7.99,3.11,4.57,1.3
225,Ky Bush,CHW,3,15,29,128,1,2,,0,1,,30,17,16,4,,1,21,13,6.71,4.17,4.98,1.52
226,Sam Aldegheri,LAA,3,3,15,68,1,2,,0,0,,15,9,9,2,,1,13,7,7.74,4.05,5.04,1.46
227,Ryan Bergert,SDP,5,5,21,93,1,1,,0,0,,22,12,12,3,,1,16,8,6.8,3.55,4.87,1.42
228,Mason Barnett,ATH,2,2,8,36,0,1,,0,0,,8,4,4,1,,1,7,3,7.99,3.5,4.49,1.34
229,Drue Hackenberg,ATL,2,2,8,34,0,0,,0,0,,7,4,4,1,,1,7,4,7.83,4.23,4.63,1.45
230,Jake Bloss,TOR,5,22,37,160,2,2,,0,1,,37,21,19,6,,1,30,15,7.23,3.57,4.73,1.4
231,Hunter Barco,PIT,2,2,6,29,0,0,,0,0,,7,4,4,1,,0,6,2,8.1,3.39,4.88,1.4
232,Jonathan Pintaro,NYM,2,2,7,33,0,1,,0,0,,7,4,4,1,,1,6,3,7.06,3.6,4.85,1.4
233,Emerson Hancock,SEA,6,20,47,202,3,3,,0,1,,47,26,24,7,,3,33,16,6.36,3.07,4.57,1.36
234,Emiliano Teodo,TEX,2,2,7,31,0,0,,0,0,,6,4,4,1,,0,6,4,8.55,5.06,5.18,1.49
235,Gunnar Hoglund,ATH,6,39,66,282,4,5,,0,1,,69,38,35,10,,4,46,18,6.33,2.53,4.81,1.33
236,Josiah Gray,WSN,2,10,17,72,1,1,,0,1,,16,10,9,3,,1,15,7,8.22,3.71,4.91,1.36
237,Casey Lawrence,SEA,2,10,18,77,1,1,,0,1,,20,10,10,3,,1,11,4,5.47,2.22,4.88,1.39
238,Triston McKenzie,CLE,19,41,118,521,6,8,,0,1,,112,68,62,21,,2,110,66,8.41,5.01,4.77,1.51
